FID,ZONE,ROW_,WEST_VALUE,CM_VALUE,EAST_VALUE
679,18,J, 78W, 75W, 72W
680,51,T,120E,123E,126E
681,55,Q,144E,147E,150E
682,19,J, 72W, 69W, 66W
683,52,T,126E,129E,132E
684,29,G, 12W,  9W,  6W
685,35,L, 24E, 27E, 30E
686,56,Q,150E,153E,156E
687,30,G,  6W,  3W,0E/W
688,36,L, 30E, 33E, 36E
689,20,J, 66W, 63W, 60W
690,53,T,132E,135E,138E
691,57,Q,156E,159E,162E
692,31,G,0E/W,  3E,  6E
693,37,L, 36E, 39E, 42E
694,21,J, 60W, 57W, 54W
695,54,T,138E,141E,144E
696,32,G,  6E,  9E, 12E
697,58,Q,162E,165E,168E
698,38,L, 42E, 45E, 48E
699,59,Q,168E,171E,174E
700,39,L, 48E, 51E, 54E
701,33,G, 12E, 15E, 18E
702,55,T,144E,147E,150E
703,22,J, 54W, 51W, 48W
704,60,Q,174E,177E,180E
705,40,L, 54E, 57E, 60E
706,1,P,180W,177W,174W
707,23,J, 48W, 45W, 42W
708,41,L, 60E, 63E, 66E
709,56,T,150E,153E,156E
710,34,G, 18E, 21E, 24E
711,2,P,174W,171W,168W
712,57,T,156E,159E,162E
713,24,J, 42W, 39W, 36W
714,35,G, 24E, 27E, 30E
715,25,J, 36W, 33W, 30W
716,3,P,168W,165W,162W
717,58,T,162E,165E,168E
718,36,G, 30E, 33E, 36E
719,26,J, 30W, 27W, 24W
720,37,G, 36E, 39E, 42E
721,27,J, 24W, 21W, 18W
722,59,T,168E,171E,174E
723,4,P,162W,159W,156W
724,38,G, 42E, 45E, 48E
725,28,J, 18W, 15W, 12W
726,5,P,156W,153W,150W
727,60,T,174E,177E,180E
728,39,G, 48E, 51E, 54E
729,29,J, 12W,  9W,  6W
730,6,P,150W,147W,144W
731,1,S,180W,177W,174W
732,30,J,  6W,  3W,0E/W
733,7,P,144W,141W,138W
734,40,G, 54E, 57E, 60E
735,31,J,0E/W,  3E,  6E
736,2,S,174W,171W,168W
737,8,P,138W,135W,132W
738,32,J,  6E,  9E, 12E
739,3,S,168W,165W,162W
740,41,G, 60E, 63E, 66E
741,9,P,132W,129W,126W
742,33,J, 12E, 15E, 18E
743,4,S,162W,159W,156W
744,42,G, 66E, 69E, 72E
745,34,J, 18E, 21E, 24E
746,10,P,126W,123W,120W
747,43,G, 72E, 75E, 78E
748,5,S,156W,153W,150W
749,35,J, 24E, 27E, 30E
750,44,G, 78E, 81E, 84E
751,11,P,120W,117W,114W
752,6,S,150W,147W,144W
753,36,J, 30E, 33E, 36E
754,45,G, 84E, 87E, 90E
755,37,J, 36E, 39E, 42E
